"bonus","chain","co_owned","date","empft","emppt","firstinc","hrsopen","inctime","meals","ncalls","nmgrs","nregs","nregs11","observation","open","pctaff","pentree","pfry","psoda","region","sheet","special","state","status","type","wage_st","emptot","pct_fte","time","treated"
"no","roys","yes",NA,27,12,0.25,16,26,"reduced price meals",0,3,6,3,"February 1992",6,0,2.01,0.9,1.05,"phillypa",493,NA,"Pennsylvania",NA,NA,5,36,75,0,0
"no","roys","no",NA,4,28,0.25,15,26,"reduced price meals",2,3,3,3,"February 1992",7,2,0.94,1.01,1.05,"eastonpa",495,NA,"Pennsylvania",NA,NA,5,21,19.047619047619,0,0
"yes","roys","yes",NA,10,15,0.17,16,13,"reduced price meals",0,3,5,3,"February 1992",6,0,0.73,0.9,1.05,"eastonpa",496,NA,"Pennsylvania",NA,NA,5,20.5,48.780487804878,0,0
"yes","wendys","yes",NA,0,28,0.07,12,26,"reduced price meals",0,5,2,2,"February 1992",10,11,1.75,0.69,0.9,"eastonpa",499,NA,"Pennsylvania",NA,NA,5,19,0,0,0
"no","roys","yes",NA,3,16,0.25,16,13,"reduced price meals",2,3,6,3,"February 1992",6,30,1.16,0.95,1.05,"eastonpa",509,NA,"Pennsylvania",NA,NA,5,14,21.4285714285714,0,0
"no","roys","yes",NA,7,16,0.2,16,13,"reduced price meals",0,4,5,3,"February 1992",6,33,1.16,0.94,1.05,"eastonpa",515,NA,"Pennsylvania",NA,NA,5,19,36.8421052631579,0,0
"no","bk","no",NA,21,9,0.25,16.5,4,"reduced price meals",2,7,5,3,"February 1992",6.5,33,0.84,0.84,0.98,"phillypa",37,NA,"Pennsylvania",NA,NA,4.25,32.5,64.6153846153846,0,0
"no","bk","no",NA,1,32,NA,17.5,8,"reduced price meals",0,2,4,2,"February 1992",6.5,100,0.52,0.73,1.03,"phillypa",39,NA,"Pennsylvania",NA,NA,4.25,19,5.26315789473684,0,0
"no","bk","no",NA,10,20,0.15,16.5,4,"reduced price meals",0,7,3,3,"February 1992",6.5,100,0.8,0.82,0.98,"phillypa",40,NA,"Pennsylvania",NA,NA,4.25,27,37.037037037037,0,0
"no","bk","no",NA,0,27,0.2,16.5,18,"reduced price meals",0,6,3,3,"February 1992",6.5,100,0.85,0.82,0.98,"phillypa",41,NA,"Pennsylvania",NA,NA,4.25,19.5,0,0,0
"no","bk","no",NA,17,4,NA,16.5,NA,"reduced price meals",2,5,3,3,"February 1992",6.5,100,0.86,0.83,0.98,"phillypa",42,NA,"Pennsylvania",NA,NA,4.5,24,70.8333333333333,0,0
"no","bk","no",NA,0,24,0.25,16,2,"reduced price meals",0,6,3,3,"February 1992",7,25,0.86,0.83,0.98,"phillypa",45,NA,"Pennsylvania",NA,NA,4.25,18,0,0,0
"no","bk","no",NA,25,15,0.17,17,4,"reduced price meals",2,NA,3,3,"February 1992",6,75,0.86,0.86,1.05,"phillypa",47,NA,"Pennsylvania",NA,NA,4.5,NA,NA,0,0
"yes","bk","no",NA,6,20,0.2,14,13,"both free and reduced price meals",0,3,4,3,"February 1992",7,31,0.63,0.84,1.01,"phillypa",48,NA,"Pennsylvania",NA,NA,4.25,19,31.5789473684211,0,0
"no","kfc","no",NA,6,10,NA,12,13,"reduced price meals",0,3,4,3,"February 1992",10,20,3.5,0.89,1.01,"phillypa",50,NA,"Pennsylvania",NA,NA,4.5,14,42.8571428571429,0,0
"no","kfc","no",NA,0,15,0.15,13,NA,"reduced price meals",1,3,4,3,"February 1992",10,100,2.35,0.89,1.01,"phillypa",51,NA,"Pennsylvania",NA,NA,4.25,10.5,0,0,0
"yes","wendys","yes",NA,30,10,0.07,12,26,"reduced price meals",0,3,2,2,"February 1992",10,70,0.9,0.79,0.87,"phillypa",57,NA,"Pennsylvania",NA,NA,4.67,38,78.9473684210526,0,0
"no","wendys","yes",NA,8,25,0.15,12,26,"reduced price meals",2,3,2,2,"February 1992",10,80,1.01,0.77,0.87,"phillypa",58,NA,"Pennsylvania",NA,NA,4.75,23.5,34.0425531914894,0,0
"no","wendys","no",NA,0,15,0.1,10.5,26,"free meals",3,3,2,2,"February 1992",7.5,90,0.81,0.89,0.91,"phillypa",59,NA,"Pennsylvania",NA,NA,4.25,10.5,0,0,0
"no","wendys","no",NA,10,20,0.1,11.5,4,"free meals",0,5,2,2,"February 1992",10.5,75,0.86,0.74,0.94,"phillypa",60,NA,"Pennsylvania",NA,NA,4.25,25,40,0,0
"no","kfc","yes",NA,2,12,0.12,10,52,"both free and reduced price meals",0,3,4,3,"February 1992",11,90,2.33,0.74,0.95,"eastonpa",407,NA,"Pennsylvania",NA,NA,4.75,11,18.1818181818182,0,0
"no","bk","no",NA,20,25,0.15,15,13,"reduced price meals",0,4,3,3,"February 1992",7,44,0.8,0.75,0.95,"phillypa",430,NA,"Pennsylvania",NA,NA,4.25,36.5,54.7945205479452,0,0
"no","bk","no",NA,20,55,0.15,16,17,"reduced price meals",0,5,4,3,"February 1992",7,75,0.79,0.74,0.94,"phillypa",432,NA,"Pennsylvania",NA,NA,4.5,52.5,38.0952380952381,0,0
"no","bk","no",NA,10,30,0.15,16,13,"reduced price meals",0,4,3,3,"February 1992",7,75,0.8,0.73,0.95,"phillypa",433,NA,"Pennsylvania",NA,NA,4.25,29,34.4827586206897,0,0
"no","bk","no",NA,15,50,0.25,16,6,"reduced price meals",2,5,3,3,"February 1992",7,77,NA,0.75,0.95,"phillypa",434,NA,"Pennsylvania",NA,NA,4.25,45,33.3333333333333,0,0
"yes","bk","no",NA,1,37.5,0.17,15.5,4,"reduced price meals",1,3,3,3,"February 1992",6.5,25,0.79,0.75,0.95,"phillypa",435,NA,"Pennsylvania",NA,NA,4.25,22.75,4.3956043956044,0,0
"no","kfc","no",NA,0,9,0.07,8,52,"reduced price meals",2,3,2,1,"February 1992",11,11,2.43,0.84,1.01,"phillypa",438,NA,"Pennsylvania",NA,NA,4.25,7.5,0,0,0
"no","wendys","no",NA,0,25,0.15,11.5,19,"reduced price meals",2,3,2,2,"February 1992",10.5,100,2.01,0.79,0.89,"phillypa",440,NA,"Pennsylvania",NA,NA,4.25,15.5,0,0,0
"yes","wendys","no",NA,30,10,0.25,11.5,4,"reduced price meals",2,3,2,2,"February 1992",10.5,100,0.84,0.77,0.89,"phillypa",441,NA,"Pennsylvania",NA,NA,4.25,38,78.9473684210526,0,0
"no","wendys","no",NA,4,19,0.25,11.5,4,"reduced price meals",0,4,2,2,"February 1992",10.5,95,1.8,0.79,0.89,"phillypa",443,NA,"Pennsylvania",NA,NA,4.25,17.5,22.8571428571429,0,0
"no","wendys","no",NA,12,20,0.37,12.5,19,"reduced price meals",2,3,2,2,"February 1992",10.5,NA,0.84,0.8,0.89,"phillypa",444,NA,"Pennsylvania",NA,NA,4.25,25,48,0,0
"no","bk","no",NA,NA,NA,0.25,18,4,"reduced price meals",2,3,NA,NA,"February 1992",6,50,0.94,0.84,1.03,"eastonpa",446,NA,"Pennsylvania",NA,NA,4.5,NA,NA,0,0
"yes","bk","no",NA,8,18,0.25,18,4,"reduced price meals",0,4,3,3,"February 1992",6,78,0.91,0.84,0.97,"eastonpa",448,NA,"Pennsylvania",NA,NA,4.75,21,38.0952380952381,0,0
"no","bk","no",NA,0,25,NA,18,3.5,"reduced price meals",2,3,4,4,"February 1992",6,3,NA,NA,NA,"eastonpa",449,NA,"Pennsylvania",NA,NA,4.87,15.5,0,0,0
"no","bk","no",NA,2,21,0.15,16.5,13,"reduced price meals",0,3,3,3,"February 1992",6.5,50,0.84,0.82,0.97,"eastonpa",450,NA,"Pennsylvania",NA,NA,4.75,15.5,12.9032258064516,0,0
"no","kfc","yes",NA,1,9,0.15,10,4,"reduced price meals",0,3,4,3,"February 1992",11,NA,2.53,0.73,0.94,"eastonpa",454,NA,"Pennsylvania",NA,NA,4.5,8.5,11.7647058823529,0,0
"no","roys","yes",NA,5,20,0.37,16,13,"reduced price meals",0,3,5,NA,"February 1992",6,NA,0.94,0.9,1.05,"eastonpa",459,NA,"Pennsylvania",NA,NA,4.25,18,27.7777777777778,0,0
"yes","wendys","no",NA,8,17.5,0.3,11.5,17,"both free and reduced price meals",2,4,2,2,"February 1992",10.5,65,0.94,0.8,0.94,"eastonpa",466,NA,"Pennsylvania",NA,NA,4.75,20.75,38.5542168674699,0,0
"no","bk","no",NA,25,20,NA,18,26,"reduced price meals",2,4,2,2,"February 1992",6,50,0.91,0.84,0.97,"eastonpa",471,NA,"Pennsylvania",NA,NA,4.25,39,64.1025641025641,0,0
"no","bk","no",NA,37.5,2,NA,16.5,52,"reduced price meals",2,3,3,3,"February 1992",6.5,80,0.91,1.05,0.97,"eastonpa",472,NA,"Pennsylvania",NA,NA,4.25,41.5,90.3614457831325,0,0
"yes","bk","no",NA,5,27,0.5,17,26,"reduced price meals",0,4,3,2,"February 1992",6,50,0.89,0.86,0.97,"eastonpa",473,NA,"Pennsylvania",NA,NA,4.75,22.5,22.2222222222222,0,0
"no","bk","no",NA,25,8,NA,15,NA,"free meals",1,3,3,3,"February 1992",7,60,0.9,0.89,1.02,"eastonpa",475,NA,"Pennsylvania",NA,NA,4.5,32,78.125,0,0
"no","bk","no",NA,6,30,0.12,18,52,"reduced price meals",2,3,3,3,"February 1992",6,60,0.91,0.79,0.95,"phillypa",476,NA,"Pennsylvania",NA,NA,4.25,24,25,0,0
"yes","bk","no",NA,8,28,0.12,16.5,39,"reduced price meals",1,4,3,3,"February 1992",6.5,50,0.99,0.78,0.97,"eastonpa",477,NA,"Pennsylvania",NA,NA,4.25,26,30.7692307692308,0,0
"no","bk","no",NA,32,25,0.22,19,13,"reduced price meals",0,4,3,3,"February 1992",6,30,0.91,0.86,0.97,"phillypa",478,NA,"Pennsylvania",NA,NA,4.5,48.5,65.979381443299,0,0
"no","kfc","yes",NA,1,9,0.37,10,26,"reduced price meals",2,3,4,3,"February 1992",11,80,2.33,0.74,0.95,"eastonpa",485,NA,"Pennsylvania",NA,NA,4.5,8.5,11.7647058823529,0,0
"no","roys","no",NA,4,25,0.37,13,13,"reduced price meals",0,2,3,2,"February 1992",8.5,100,0.95,0.91,1.05,"eastonpa",491,NA,"Pennsylvania",NA,NA,4.5,18.5,21.6216216216216,0,0
"no","roys","yes",NA,2,16,0.25,12.5,13,"reduced price meals",0,3,2,1,"February 1992",9,75,0.94,1.05,1.11,"eastonpa",492,NA,"Pennsylvania",NA,NA,4.5,13,15.3846153846154,0,0
"yes","wendys","yes",NA,12,15,0.15,12,13,"reduced price meals",0,3,2,2,"February 1992",10,37,0.84,0.84,0.91,"eastonpa",497,NA,"Pennsylvania",NA,NA,4.5,22.5,53.3333333333333,0,0
"yes","wendys","yes",NA,20,10,0.1,12,26,"reduced price meals",2,3,2,2,"February 1992",10,75,0.85,0.84,0.91,"eastonpa",498,NA,"Pennsylvania",NA,NA,4.75,28,71.4285714285714,0,0
"yes","bk","no",NA,14,15,0.37,16.5,4,"reduced price meals",0,3,3,3,"February 1992",6.5,63,0.94,0.84,0.84,"eastonpa",501,NA,"Pennsylvania",NA,NA,4.25,24.5,57.1428571428571,0,0
"no","bk","no",NA,7.5,14,0.12,16.5,NA,"reduced price meals",2,4,3,3,"February 1992",6.5,100,0.91,0.84,0.97,"eastonpa",503,NA,"Pennsylvania",NA,NA,4.75,18.5,40.5405405405405,0,0
"no","roys","yes",NA,7,25,0.25,16,26,"reduced price meals",0,4,3,3,"February 1992",6,60,1.05,0.91,1.05,"eastonpa",510,NA,"Pennsylvania",NA,NA,4.25,23.5,29.7872340425532,0,0
"no","roys","yes",NA,4,16,0.15,16.5,9,"reduced price meals",0,3,4,4,"February 1992",6,75,1.05,0.91,1.01,"eastonpa",511,NA,"Pennsylvania",NA,NA,4.75,15,26.6666666666667,0,0
"no","roys","no",NA,5,20,0.25,16,26,"reduced price meals",0,3,5,3,"February 1992",6,25,0.94,0.9,0.94,"eastonpa",514,NA,"Pennsylvania",NA,NA,4.5,18,27.7777777777778,0,0
"no","roys","yes",NA,6,22.5,0.12,16,13,"both free and reduced price meals",2,3,4,3,"February 1992",6,23,1.05,0.91,1.05,"eastonpa",516,NA,"Pennsylvania",NA,NA,4.75,20.25,29.6296296296296,0,0
"yes","bk","no",NA,2.5,20,NA,16.5,13,"reduced price meals",0,3,4,4,"February 1992",6.5,50,0.52,NA,NA,"phillypa",521,NA,"Pennsylvania",NA,NA,4.25,15.5,16.1290322580645,0,0
"no","bk","no",NA,2,30,0.2,16,26,"both free and reduced price meals",2,4,3,3,"February 1992",7,75,0.94,0.87,1,"phillypa",522,NA,"Pennsylvania",NA,NA,4.35,21,9.52380952380952,0,0
"yes","bk","no",NA,0,22,NA,16,NA,"reduced price meals",0,4,4,NA,"February 1992",7,NA,1,0.95,1.06,"centralj",113,NA,"New Jersey",NA,NA,NA,15,0,0,1
"no","bk","no",NA,0,20,NA,14.5,13,"reduced price meals",0,5,2,1,"February 1992",7,28,1.01,0.95,1.06,"centralj",123,NA,"New Jersey",NA,NA,NA,15,0,0,1
"no","roys","no",NA,10,20,NA,12.5,26,"none",0,4,5,3,"February 1992",9,NA,NA,NA,NA,"centralj",135,NA,"New Jersey",NA,NA,NA,24,41.6666666666667,0,1
"yes","roys","yes",NA,4.5,25.5,NA,11.5,NA,"reduced price meals",0,2,6,NA,"February 1992",10,NA,1.06,1.07,1.12,"northj",138,NA,"New Jersey",NA,NA,NA,19.25,23.3766233766234,0,1
"no","bk","no",NA,0,25,0.15,17,52,"free meals",0,9,4,3,"February 1992",7,33,0.89,0.95,1,"northj",153,NA,"New Jersey",NA,NA,NA,21.5,0,0,1
"no","kfc","no",NA,0,13,NA,11,NA,"free meals",0,3,3,2,"February 1992",10.5,100,2.34,0.79,0.91,"northj",181,NA,"New Jersey",NA,NA,NA,9.5,0,0,1
"no","wendys","no",NA,30,20,NA,12,NA,"reduced price meals",0,4,NA,1,"February 1992",10.5,NA,1.06,0.95,1.06,"northj",191,NA,"New Jersey",NA,NA,NA,44,68.1818181818182,0,1
"no","bk","no",NA,NA,10,NA,16,26,"reduced price meals",1,3,2,2,"February 1992",7,NA,0.95,1.02,1.02,"northj",231,NA,"New Jersey",NA,NA,NA,NA,NA,0,1
"no","bk","no",NA,0,34,NA,17,17,"free meals",3,4,4,3,"February 1992",7,95,1.06,1.02,1.18,"northj",236,NA,"New Jersey",NA,NA,NA,21,0,0,1
"no","wendys","no",NA,20,10,NA,16,16,"free meals",0,3,2,2,"February 1992",7,NA,1.06,0.86,1.06,"southj",254,NA,"New Jersey",NA,NA,NA,28,71.4285714285714,0,1
"yes","wendys","no",NA,0,14,0.27,14,52,"free meals",2,3,2,2,"February 1992",7,10,0.85,0.79,1.01,"southj",255,NA,"New Jersey",NA,NA,NA,10,0,0,1
"no","bk","no",NA,0,35,0.2,16,26,"reduced price meals",3,3,3,3,"February 1992",7,70,0.95,0.95,1.06,"northj",294,NA,"New Jersey",NA,NA,NA,20.5,0,0,1
"no","roys","yes",NA,15,15,NA,17,17,"reduced price meals",0,3,4,4,"February 1992",6,NA,1.06,NA,1.02,"northj",306,NA,"New Jersey",NA,NA,NA,25.5,58.8235294117647,0,1
"yes","wendys","no",NA,0,30,0.32,11.5,26,"reduced price meals",2,4,2,2,"February 1992",10.5,78,1.06,0.91,0.91,"northj",311,NA,"New Jersey",NA,NA,NA,19,0,0,1
"yes","bk","no",NA,5,19,0.25,16,4,"both free and reduced price meals",0,2,3,2,"February 1992",7,65,0.88,0.85,1,"southj",315,NA,"New Jersey",NA,NA,NA,16.5,30.3030303030303,0,1
"no","bk","yes",NA,9,10,0.17,17,13,"free meals",0,3,5,2,"February 1992",6,100,0.92,0.92,1.06,"southj",335,NA,"New Jersey",NA,NA,NA,17,52.9411764705882,0,1
"yes","bk","yes",NA,0,45,0.15,19,26,"both free and reduced price meals",2,5,4,NA,"February 1992",6.5,30,1.1,0.95,1.1,"northj",372,NA,"New Jersey",NA,NA,NA,27.5,0,0,1
"no","roys","yes",NA,2,2,0.25,7,13,"free meals",2,2,4,2,"February 1992",11,100,2.35,1.17,1.2,"centralj",6,NA,"New Jersey",NA,NA,5,5,40,0,1
"no","kfc","no",NA,10,8,0.25,11,6,"both free and reduced price meals",0,2,6,5,"February 1992",11,0,2.49,0.85,1.06,"centralj",14,NA,"New Jersey",NA,NA,5.12,16,62.5,0,1
"yes","bk","no",NA,30,15,NA,16,6,"reduced price meals",3,4,4,2,"February 1992",7,NA,0.98,0.91,1.06,"northj",26,NA,"New Jersey",NA,NA,5.56,41.5,72.289156626506,0,1
"no","kfc","yes",NA,4,10,0.37,10,NA,"free meals",2,4,4,3,"February 1992",11,0,2.34,0.85,1.06,"centralj",27,NA,"New Jersey",NA,NA,5,13,30.7692307692308,0,1
"no","kfc","no",NA,6,4,0.37,10,13,"free meals",4,2,2,2,"February 1992",11,0,2.53,1.06,1.06,"northj",30,NA,"New Jersey",NA,NA,5,10,60,0,1
"no","kfc","no",NA,4,16,0.15,11,13,"reduced price meals",2,3,4,3,"February 1992",11,0,2.56,1.06,1.03,"centralj",31,NA,"New Jersey",NA,NA,5.25,15,26.6666666666667,0,1
"no","roys","no",NA,12,20,0.25,17,26,"reduced price meals",0,4,5,4,"February 1992",6,7,0.95,1.07,1.02,"northj",33,NA,"New Jersey",NA,NA,5,26,46.1538461538462,0,1
"yes","wendys","no",NA,8,12,0.17,13,30,"reduced price meals",0,4,2,2,"February 1992",10.5,0,2.57,0.91,1.02,"centralj",36,NA,"New Jersey",NA,NA,5.5,18,44.4444444444444,0,1
"no","roys","no",NA,6,50,0.15,19,4,"reduced price meals",0,4,6,5,"February 1992",6,100,1.17,1.07,1.18,"northj",77,NA,"New Jersey",NA,NA,5,35,17.1428571428571,0,1
"no","roys","yes",NA,13,10,0.15,17,26,"reduced price meals",0,3,4,2,"February 1992",6,0,1.02,1.02,1.12,"northj",78,NA,"New Jersey",NA,NA,5,21,61.9047619047619,0,1
"no","wendys","no",NA,25,13,0.1,12,26,"reduced price meals",4,3,2,2,"February 1992",10,95,1.06,0.98,1.06,"northj",81,NA,"New Jersey",NA,NA,5,34.5,72.463768115942,0,1
"yes","wendys","no",NA,8,14.5,0.37,13.5,13,"reduced price meals",6,3,2,2,"February 1992",10.5,0,1.06,1.03,1.06,"northj",82,NA,"New Jersey",NA,NA,5,18.25,43.8356164383562,0,1
"no","wendys","no",NA,12.5,20,0.25,13.5,13,"reduced price meals",2,2,2,2,"February 1992",10.5,11,2.13,0.98,1.06,"northj",83,NA,"New Jersey",NA,NA,5,24.5,51.0204081632653,0,1
"no","bk","no",NA,7,20,0.52,12.5,26,"free meals",3,3,5,4,"February 1992",9,1,1.02,1.02,1.12,"centralj",85,NA,"New Jersey",NA,NA,5.5,20,35,0,1
"no","bk","yes",NA,10,6,0.17,16,13,"reduced price meals",2,3,3,2,"February 1992",7,0,1.04,0.95,1.09,"centralj",89,NA,"New Jersey",NA,NA,5,16,62.5,0,1
"no","kfc","no",NA,0,25,0.25,10,26,"both free and reduced price meals",2,5,NA,NA,"February 1992",11,0,2.56,0.8,1.06,"centralj",94,NA,"New Jersey",NA,NA,5,17.5,0,0,1
"no","wendys","no",NA,12.5,10,0.27,11.5,26,"reduced price meals",2,3,2,2,"February 1992",10.5,50,0.95,0.85,0.91,"northj",103,NA,"New Jersey",NA,NA,5,20.5,60.9756097560976,0,1
"no","wendys","no",NA,4,26,0.2,14,13,"reduced price meals",0,3,2,2,"February 1992",10,80,1.06,0.98,1.06,"northj",112,NA,"New Jersey",NA,NA,5,20,20,0,1
"no","kfc","yes",NA,6.5,7.5,0.15,11,NA,"reduced price meals",3,2,4,2,"February 1992",11,NA,2.34,0.85,1.06,"centralj",128,NA,"New Jersey",NA,NA,5,12.25,53.0612244897959,0,1
"no","roys","no",NA,20,20,0.05,16,26,"reduced price meals",3,3,6,4,"February 1992",6,0,0.74,1,1.1,"centralj",129,NA,"New Jersey",NA,NA,5.25,33,60.6060606060606,0,1
"yes","roys","no",NA,15,25,0.37,17,4,"reduced price meals",2,4,5,2,"February 1992",6,10,1.06,1.06,1.06,"centralj",131,NA,"New Jersey",NA,NA,5.5,31.5,47.6190476190476,0,1
"no","wendys","no",NA,NA,NA,NA,12.5,NA,"reduced price meals",0,2,2,1,"February 1992",10.5,NA,1.06,0.95,0.95,"centralj",139,NA,"New Jersey",NA,NA,5.5,NA,NA,0,1
"yes","wendys","no",NA,0,30,0.25,11.5,26,"reduced price meals",3,3,2,2,"February 1992",10.5,15,1.06,0.95,0.95,"centralj",143,NA,"New Jersey",NA,NA,5.37,18,0,0,1
"yes","wendys","no",NA,10,30,0.15,12.5,26,"reduced price meals",2,3,2,2,"February 1992",10.5,0,1.06,0.85,0.91,"centralj",144,NA,"New Jersey",NA,NA,5.05,28,35.7142857142857,0,1
"yes","bk","no",NA,5,17,0.15,16,13,"reduced price meals",0,3,3,2,"February 1992",7,0,0.95,0.95,1.06,"northj",145,NA,"New Jersey",NA,NA,5,16.5,30.3030303030303,0,1
"no","bk","no",NA,8.5,6.5,0.25,14,8,"reduced price meals",0,3,2,2,"February 1992",7,100,0.95,0.89,1.12,"northj",147,NA,"New Jersey",NA,NA,5.12,14.75,57.6271186440678,0,1
"yes","bk","no",NA,4.5,30,0.17,17,26,"reduced price meals",4,4,3,2,"February 1992",7,0,0.95,0.95,1.06,"northj",148,NA,"New Jersey",NA,NA,5.25,23.5,19.1489361702128,0,1
"no","bk","no",NA,1,12,0.1,15,12,"reduced price meals",0,3,3,3,"February 1992",7,92,1.04,0.81,1.09,"northj",151,NA,"New Jersey",NA,NA,5,10,10,0,1
"yes","bk","no",NA,35,15,0.67,15,9,"free meals",0,4,3,2,"February 1992",7,10,1.02,0.95,1.17,"northj",152,NA,"New Jersey",NA,NA,5.12,46.5,75.2688172043011,0,1
"no","kfc","no",NA,10,5,0.25,12,26,"free meals",0,3,3,3,"February 1992",10.5,0,2.34,0.85,0.91,"northj",157,NA,"New Jersey",NA,NA,5,15.5,64.5161290322581,0,1
"no","roys","yes",NA,8,25,0.15,17,19,"reduced price meals",0,4,7,3,"February 1992",6,2,1.06,1.02,1.12,"northj",161,NA,"New Jersey",NA,NA,5,24.5,32.6530612244898,0,1
"no","roys","yes",NA,12,18,0.15,16.5,13,"reduced price meals",0,3,3,3,"February 1992",6,11,1.06,1.07,1.2,"northj",163,NA,"New Jersey",NA,NA,5,24,50,0,1
"no","roys","yes",NA,4,30,0.1,19,26,"reduced price meals",0,4,5,3,"February 1992",5,3,1.06,1.02,1.12,"northj",164,NA,"New Jersey",NA,NA,5,23,17.3913043478261,0,1
"yes","wendys","no",NA,20,10,0.27,12.5,15,"reduced price meals",1,3,3,2,"February 1992",10.5,60,1.06,0.89,1.06,"northj",165,NA,"New Jersey",NA,NA,5,28,71.4285714285714,0,1
"no","bk","yes",NA,12,33,0.25,16,13,"reduced price meals",0,4,3,3,"February 1992",7,50,1.04,0.94,1.1,"northj",169,NA,"New Jersey",NA,NA,5,32.5,36.9230769230769,0,1
